disease,symptom_text,description,precaution_1,precaution_2,precaution_3,precaution_4,training_text
Psoriasis,"i have been experiencing a skin rash on my arms, legs, and torso for the past few weeks it is red, itchy, and covered in dry, scaly patches","Psoriasis is a common skin disorder that forms thick, red, bumpy patches covered with silvery scales. They can pop up anywhere, but most appear on the scalp, elbows, knees, and lower back. Psoriasis can't be passed from person to person. It does sometimes happen in members of the same family.",wash hands with warm soapy water,stop bleeding using pressure,consult doctor,salt baths,"i have been experiencing a skin rash on my arms, legs, and torso for the past few weeks it is red, itchy, and covered in dry, scaly patches psoriasis is a common skin disorder that forms thick, red, bumpy patches covered with silvery scales they can pop up anywhere, but most appear on the scalp, elbows, knees, and lower back psoriasis cant be passed from person to person it does sometimes happen in members of the same family wash hands with warm soapy water stop bleeding using pressure consult doctor salt baths"
Psoriasis,"my skin has been peeling, especially on my knees, elbows, and scalp this peeling is often accompanied by a burning or stinging sensation","Psoriasis is a common skin disorder that forms thick, red, bumpy patches covered with silvery scales. They can pop up anywhere, but most appear on the scalp, elbows, knees, and lower back. Psoriasis can't be passed from person to person. It does sometimes happen in members of the same family.",wash hands with warm soapy water,stop bleeding using pressure,consult doctor,salt baths,"my skin has been peeling, especially on my knees, elbows, and scalp this peeling is often accompanied by a burning or stinging sensation psoriasis is a common skin disorder that forms thick, red, bumpy patches covered with silvery scales they can pop up anywhere, but most appear on the scalp, elbows, knees, and lower back psoriasis cant be passed from person to person it does sometimes happen in members of the same family wash hands with warm soapy water stop bleeding using pressure consult doctor salt baths"
Psoriasis,"i have been experiencing joint pain in my fingers, wrists, and knees the pain is often achy and throbbing, and it gets worse when i move my joints","Psoriasis is a common skin disorder that forms thick, red, bumpy patches covered with silvery scales. They can pop up anywhere, but most appear on the scalp, elbows, knees, and lower back. Psoriasis can't be passed from person to person. It does sometimes happen in members of the same family.",wash hands with warm soapy water,stop bleeding using pressure,consult doctor,salt baths,"i have been experiencing joint pain in my fingers, wrists, and knees the pain is often achy and throbbing, and it gets worse when i move my joints psoriasis is a common skin disorder that forms thick, red, bumpy patches covered with silvery scales they can pop up anywhere, but most appear on the scalp, elbows, knees, and lower back psoriasis cant be passed from person to person it does sometimes happen in members of the same family wash hands with warm soapy water stop bleeding using pressure consult doctor salt baths"
Psoriasis,"there is a silver like dusting on my skin, especially on my lower back and scalp this dusting is made up of small scales that flake off easily when i scratch them","Psoriasis is a common skin disorder that forms thick, red, bumpy patches covered with silvery scales. They can pop up anywhere, but most appear on the scalp, elbows, knees, and lower back. Psoriasis can't be passed from person to person. It does sometimes happen in members of the same family.",wash hands with warm soapy water,stop bleeding using pressure,consult doctor,salt baths,"there is a silver like dusting on my skin, especially on my lower back and scalp this dusting is made up of small scales that flake off easily when i scratch them psoriasis is a common skin disorder that forms thick, red, bumpy patches covered with silvery scales they can pop up anywhere, but most appear on the scalp, elbows, knees, and lower back psoriasis cant be passed from person to person it does sometimes happen in members of the same family wash hands with warm soapy water stop bleeding using pressure consult doctor salt baths"
Psoriasis,"my nails have small dents or pits in them, and they often feel inflammatory and tender to the touch even there are minor rashes on my arms","Psoriasis is a common skin disorder that forms thick, red, bumpy patches covered with silvery scales. They can pop up anywhere, but most appear on the scalp, elbows, knees, and lower back. Psoriasis can't be passed from person to person. It does sometimes happen in members of the same family.",wash hands with warm soapy water,stop bleeding using pressure,consult doctor,salt baths,"my nails have small dents or pits in them, and they often feel inflammatory and tender to the touch even there are minor rashes on my arms psoriasis is a common skin disorder that forms thick, red, bumpy patches covered with silvery scales they can pop up anywhere, but most appear on the scalp, elbows, knees, and lower back psoriasis cant be passed from person to person it does sometimes happen in members of the same family wash hands with warm soapy water stop bleeding using pressure consult doctor salt baths"
Psoriasis,the skin on my palms and soles is thickened and has deep cracks these cracks are painful and bleed easily,"Psoriasis is a common skin disorder that forms thick, red, bumpy patches covered with silvery scales. They can pop up anywhere, but most appear on the scalp, elbows, knees, and lower back. Psoriasis can't be passed from person to person. It does sometimes happen in members of the same family.",wash hands with warm soapy water,stop bleeding using pressure,consult doctor,salt baths,"the skin on my palms and soles is thickened and has deep cracks these cracks are painful and bleed easily psoriasis is a common skin disorder that forms thick, red, bumpy patches covered with silvery scales they can pop up anywhere, but most appear on the scalp, elbows, knees, and lower back psoriasis cant be passed from person to person it does sometimes happen in members of the same family wash hands with warm soapy water stop bleeding using pressure consult doctor salt baths"
Psoriasis,"the skin around my mouth, nose, and eyes is red and inflamed it is often itchy and uncomfortable there is a noticeable inflammation in my nails","Psoriasis is a common skin disorder that forms thick, red, bumpy patches covered with silvery scales. They can pop up anywhere, but most appear on the scalp, elbows, knees, and lower back. Psoriasis can't be passed from person to person. It does sometimes happen in members of the same family.",wash hands with warm soapy water,stop bleeding using pressure,consult doctor,salt baths,"the skin around my mouth, nose, and eyes is red and inflamed it is often itchy and uncomfortable there is a noticeable inflammation in my nails psoriasis is a common skin disorder that forms thick, red, bumpy patches covered with silvery scales they can pop up anywhere, but most appear on the scalp, elbows, knees, and lower back psoriasis cant be passed from person to person it does sometimes happen in members of the same family wash hands with warm soapy water stop bleeding using pressure consult doctor salt baths"
Psoriasis,my skin is very sensitive and reacts easily to changes in temperature or humidity i often have to be careful about what products i use on my skin,"Psoriasis is a common skin disorder that forms thick, red, bumpy patches covered with silvery scales. They can pop up anywhere, but most appear on the scalp, elbows, knees, and lower back. Psoriasis can't be passed from person to person. It does sometimes happen in members of the same family.",wash hands with warm soapy water,stop bleeding using pressure,consult doctor,salt baths,"my skin is very sensitive and reacts easily to changes in temperature or humidity i often have to be careful about what products i use on my skin psoriasis is a common skin disorder that forms thick, red, bumpy patches covered with silvery scales they can pop up anywhere, but most appear on the scalp, elbows, knees, and lower back psoriasis cant be passed from person to person it does sometimes happen in members of the same family wash hands with warm soapy water stop bleeding using pressure consult doctor salt baths"
Psoriasis,"i have noticed a sudden peeling of skin at different parts of my body, mainly arms, legs and back also, i face severe joint pain and skin rashes","Psoriasis is a common skin disorder that forms thick, red, bumpy patches covered with silvery scales. They can pop up anywhere, but most appear on the scalp, elbows, knees, and lower back. Psoriasis can't be passed from person to person. It does sometimes happen in members of the same family.",wash hands with warm soapy water,stop bleeding using pressure,consult doctor,salt baths,"i have noticed a sudden peeling of skin at different parts of my body, mainly arms, legs and back also, i face severe joint pain and skin rashes psoriasis is a common skin disorder that forms thick, red, bumpy patches covered with silvery scales they can pop up anywhere, but most appear on the scalp, elbows, knees, and lower back psoriasis cant be passed from person to person it does sometimes happen in members of the same family wash hands with warm soapy water stop bleeding using pressure consult doctor salt baths"
Psoriasis,"the skin on my genitals is red and inflamed it is often itchy, burning, and uncomfortable there are rashes on different parts of the body too","Psoriasis is a common skin disorder that forms thick, red, bumpy patches covered with silvery scales. They can pop up anywhere, but most appear on the scalp, elbows, knees, and lower back. Psoriasis can't be passed from person to person. It does sometimes happen in members of the same family.",wash hands with warm soapy water,stop bleeding using pressure,consult doctor,salt baths,"the skin on my genitals is red and inflamed it is often itchy, burning, and uncomfortable there are rashes on different parts of the body too psoriasis is a common skin disorder that forms thick, red, bumpy patches covered with silvery scales they can pop up anywhere, but most appear on the scalp, elbows, knees, and lower back psoriasis cant be passed from person to person it does sometimes happen in members of the same family wash hands with warm soapy water stop bleeding using pressure consult doctor salt baths"
